"survey","item","variable","values"
"eb793","gen_clicon_2","qa7a_12","c(0:1)"
"eb793","gen_clicon_2","qa8_11","c(0:1)"
"eb793","sup_govaction_2","qd1_25","c(0:1)"
"eb801","gen_clicon_2","qa4a_13","c(0:1)"
"eb801","gen_clicon_2","qa5a_12","c(0:1)"
"eb801","sup_govaction_2","qd1_25","c(0:1)"
"eb801","sup_govaction_2","qd1_26","c(0:1)"
"eb801","gen_clicon_2","qa6_13","c(0:1)"
"eb802_c","climate_chg_4","qa4_1","c(4:1)"
"eb802_c","gen_clicon_2","qa1t_1","c(0:1)"
"eb802_c","gen_clicon_2","qa3_1","c(0:1)"
"eb814","gen_clicon_2","qa4a_13","c(0:1)"
"eb814","gen_clicon_2","qa5a_12","c(0:1)"
"eb814","gen_clicon_2","qa6_13","c(0:1)"
"eb823","gen_clicon_2","qa3a_13","c(0:1)"
"eb823","gen_clicon_2","qa4a_12","c(0:1)"
"eb823","gen_clicon_2","qa5_13","c(0:1)"
"eb832","gen_clicon_4","qa6_4","c(4:1)"
"eb833","sup_govaction_2","qe3t_6","c(0:1)"
"eb833","gen_clicon_2","qa4a_12","c(0:1)"
"eb833","gen_clicon_2","qa5_13","c(0:1)"
"eb833","gen_clicon_2","qa3a_13","c(0:1)"
"eb834","gen_clicon_10","qa2","c(1:10)"
"eb834","sup_govaction_2","qa3_1","c(0:1)"
"eb834","sup_govaction_2","qa3_2","c(0:1)"
"eb834","sup_govaction_2","qa3_3","c(0:1)"
"eb834","gen_clicon_2","qa3_4","c(0:1)"
"eb834","gen_indchge_2","qa3_5","c(0:1)"
"eb834","gen_clicon_2","qa3_6","c(0:1)"
"eb834","gen_clicon_2","qa3_7","c(0:1)"
"eb834","gen_clicon_2","qa3_8","c(0:1)"
"eb834","climate_chg_4","qa4_1","c(4:1)"
"eb834","intcomm_coop_4","qa4_2","c(4:1)"
"eb834","gh_env_4","qb4_5","c(4:1)"
"eb834","gh_env_4","qb7_5","c(4:1)"
"eb843","gen_clicon_2","qa3a_13","c(0:1)"
"eb843","gen_clicon_2","qa4a_12","c(0:1)"
"eb843","gen_clicon_2","qa5_13","c(0:1)"
"eb852","gen_clicon_2","qa3a_13","c(0:1)"
"eb852","gen_clicon_2","qa4a_12","c(0:1)"
"eb852","gen_clicon_2","qa5_13","c(0:1)"
"eb862","gen_clicon_2","qa3a_13","c(0:1)"
"eb862","gen_clicon_2","qa4a_12","c(0:1)"
"eb862","gen_clicon_2","qa5_13","c(0:1)"
"eb802_c","sup_govaction_2","qa3_2","c(0:1)"
"eb802_c","sup_govaction_2","qa3_3","c(0:1)"
"eb802_c","gen_clicon_2","qa3_4","c(0:1)"
"eb802_c","gen_indchge_2","qa3_5","c(0:1)"
"eb802_c","gen_clicon_2","qa3_6","c(0:1)"
"eb802_c","gen_clicon_2","qa3_7","c(0:1)"
"eb802_c","gen_clicon_2","qa3_8","c(0:1)"
"eb871","gen_clicon_2","qc1t_1","c(0:1)"
"eb871","gen_clicon_10","qc2","c(1:10)"
"eb871","sup_govaction_2","qc3_1","c(0:1)"
"eb871","sup_govaction_2","qc3_2","c(0:1)"
"eb871","sup_govaction_2","qc3_3","c(0:1)"
"eb871","gen_clicon_2","qc3_4","c(0:1)"
"eb871","gen_indchge_2","qc3_5","c(0:1)"
"eb871","gen_clicon_2","qc3_6","c(0:1)"
"eb871","gen_clicon_2","qc3_7","c(0:1)"
"eb871","gen_clicon_2","qc3_8","c(0:1)"
"eb871","climate_chg_4","qc4_1","c(4:1)"
"eb871","sup_govaction_4","qc4_5","c(4:1)"
"eb871","sup_govaction_4","qc7","c(4:1)"
"eb871","sup_govaction_4","qc8","c(4:1)"
"nsee_combo","gh_env_4","gwimpacts_areas","c(4:1)"
"nsee_combo","air_health_4","gwimpacts_disease","c(4:1)"
"nsee_combo","gh_env_4","gwimpacts_droughts","c(4:1)"
"nsee_combo","gh_env_4","gwimpacts_species","c(4:1)"
"nsee_combo","gh_env_4","gwimpacts_storms","c(4:1)"
"nsee_combo","sup_govaction_4","intl_economicimpact","c(1:4)"
"nsee_combo","sup_govaction_4","intl_support_v1","c(4:1)"
"nsee_combo","sup_govaction_5","intl_support_v2","c(5:1)"
"nsee_combo","climate_chg_2","science_co2vsmethane","c(1:2)"
"nsee_combo","climate_chg_2","science_flooding","c(2:1)"
"nsee_combo","climate_chg_2","science_ozonehole","c(1:2)"
"eb883","gen_clicon_2","qa3a_13","c(0:1)"
"eb883","gen_clicon_2","qa4b_13","c(0:1)"
"eb883","gen_clicon_2","qa5_13","c(0:1)"
"eb902","climate_chg_4","qb1","c(4:1)"
"eb902","gh_env_4","qb2_1","c(4:1)"
"eb902","gh_env_4","qb2_2","c(4:1)"
"eb902","gh_env_4","qb2_3","c(4:1)"
"eb902","gh_env_4","qb2_4","c(4:1)"
"eb902","gh_env_4","qb2_5","c(4:1)"
"eb902","gh_env_4","qb2_6","c(4:1)"
"eb902","sup_govaction_4","qb5_5","c(4:1)"
"eb913_c","gen_clicon_2","qb1_c","c(0:1)"
"eb913_c","sup_govaction_4","qb4_4","c(4:1)"
"eb913_c","gen_indchge_2","qb5","c(2:1)"
"eb913_c","sup_govaction_4","qb7","c(4:1)"
"eb913_c","sup_govaction_4","qb8","c(4:1)"
"eb913_c","sup_govaction_4","qb9","c(4:1)"
"eb914","sup_govaction_2","qb9","c(0:1)"
"eb914","sup_govaction_4","qb2_2","c(4:1)"
"eb904","gh_env_4","qa2_5","c(4:1)"
"eb924","gen_clicon_10","qa2_1","c(1:10)"
"eb924","gen_clicon_10","qa2_2","c(1:10)"
"eb924","gen_clicon_2","qa3_8","c(0:1)"
"eb924","gen_evncon_4","qa1","c(4:1)"
"eb924","envact_gov_3","qa9_4","c(3:1)"
"eb511_c","gen_evncon_2","venv","c(0:1)"
"eb511_c","gen_evncon_3","v43","c(3, 2, 1)"
"eb511_c","env_seriplant_4","v44","c(4:1)"
"eb511_c","env_seriplant_4","v46","c(4:1)"
"eb511_c","gen_clicon_4","v47","c(4:1)"
"eb511_c","gen_clicon_4","v48","c(4:1)"
"eb511_c","gen_clicon_4","v49","c(4:1)"
"eb511_c","env_seriplant_3","v53","c(2, 3, 1)"
"eb511_c","env_seriplant_3","v55","c(2, 3, 1)"
"eb511_c","gen_clicon_3","v56","c(2, 3, 1)"
"eb511_c","env_serairpoll_3","v57","c(2, 3, 1)"
"eb511_c","gen_clicon_3","v58","c(2, 3, 1)"
"eb511_c","env_serairpoll_3","v86","c(1:3)"
"eb511_c","gen_clicon_3","v93","c(1:3)"
"eb511_c","env_serairpoll_4","v75","c(4:1)"
"eb802_c","gen_clicon_2","qa1_c","c(0:1)"
"eb802_c","gen_clicon_11","qa2","c(0:10)"
"eb802_c","sup_govaction_4","qa7","c(4:1)"
"eb802_c","sup_govaction_4","qa8","c(4:1)"
"eb834","gen_clicon_2","qa1t_1","c(0:1)"
"eb852_c","gen_evncon_2","qa3_c","c(0:1)"
"eb852_c","gen_evncon_2","qa4_c","c(0:1)"
"eb852_c","gen_evncon_2","qa5_11","c(0:1)"
"eb852_c","gen_clicon_2","qa5_13","c(0:1)"
"eb852_c","gen_evncon_2","qb3_4","c(0:1)"
"eb852_c","climate_pri_2","qb3_6","c(0:1)"
"eb682_c","gen_evncon_2","qa3_c","c(0:1)"
"eb682_c","gen_evncon_2","qa4_c","c(0:1)"
"eb682_c","gen_evncon_2","qa5_11","c(0:1)"
"eb682_c","gen_clicon_2","qa5_13","c(0:1)"
"eb682_c","gen_evncon_2","qb3_4","c(0:1)"
"eb682_c","climate_pri_2","qb3_6","c(0:1)"
"eb621","gen_clicon_2","v271","c(0:1)"
"eb621","gh_env_2","v279","c(0:1)"
"eb621","envact_govaction_2","v104","c(0:1)"
"eb621","gen_evncon_4","v120","c(1:4)"
"eb621","gen_evncon_5","v132","c(4, 3, 5, 2, 1)"
"eb621","envimp_eco_2","v146","c(2:1)"
"eb621","gen_evncon_4","v307","c(4:1)"
"eb621","envimp_eco_2","v310","c(2:1)"
"eb621","envimp_eco_4","v311","c(4:1)"
"eb621","envact_indgen_4","v312","c(4:1)"
"eb621","gen_evncon_2","v325","c(1:0)"
"eb570","climate_chg_2","v104","c(2:1)"
"eb570","climate_chg_2","v105","c(2:1)"
"eb431","env_seriplant_4","v135","c(4:1)"
"eb431","env_seriplant_4","v137","c(4:1)"
"eb431","gen_clicon_4","v138","c(4:1)"
"lb2017","climate_chg_4","p53n_i","c(4:1)"
